Benchmark,Implementation,Time,Seq
Binsearch,Lua-C API,3.651786,7
Binsearch,Lua-C API,3.633145,8
Binsearch,Lua-C API,3.620875,9
Binsearch,Lua-C API,3.616319,10
Binsearch,Lua-C API,3.626318,11
Binsearch,Lua-C API,3.619894,12
Binsearch,Lua-C API,3.980714,13
Binsearch,Lua-C API,3.622280,14
Binsearch,Lua-C API,3.667534,15
Binsearch,Lua-C API,3.616571,16
Binsearch,Lua-C API,3.809648,17
Binsearch,Lua-C API,3.640798,18
Binsearch,Lua-C API,3.621644,19
Binsearch,Lua-C API,3.629294,20
Binsearch,Lua-C API,3.628649,21
Binsearch,Lua-C API,3.627441,22
Binsearch,Lua-C API,3.643360,23
Binsearch,Lua-C API,3.671702,24
Binsearch,Lua-C API,3.645162,25
Binsearch,Lua-C API,3.634435,26
Binsearch,Lua-C API,3.632587,27
Binsearch,Lua-C API,3.891508,28
Binsearch,Lua-C API,3.640280,29
Binsearch,Lua-C API,3.675109,30
Binsearch,Lua-C API,3.645517,31
Binsearch,Lua-C API,3.620593,32
Binsearch,Lua-C API,3.625411,33
Binsearch,Lua-C API,3.625941,34
Binsearch,Lua-C API,3.638567,35
Binsearch,Lua-C API,3.765674,36
Binsearch,Lua-C API,3.632148,37
Binsearch,Lua-C API,3.632973,38
Binsearch,Lua-C API,3.632140,39
Binsearch,Lua-C API,3.630770,40
Binsearch,Lua-C API,3.772691,41
Binsearch,Lua-C API,3.619564,42
Binsearch,No Check,1.398199,1
Binsearch,No Check,1.399318,2
Binsearch,No Check,1.398106,3
Binsearch,No Check,1.429121,4
Binsearch,No Check,1.425834,5
Binsearch,No Check,1.392899,6
Binsearch,No Check,1.398890,7
Binsearch,No Check,1.393953,8
Binsearch,No Check,1.406512,9
Binsearch,No Check,1.401275,10
Binsearch,No Check,1.421566,11
Binsearch,No Check,1.396071,12
Binsearch,No Check,1.403983,13
Binsearch,No Check,1.407328,14
Binsearch,No Check,1.398824,15
Binsearch,No Check,1.393696,16
Binsearch,No Check,1.397706,17
Binsearch,No Check,1.393297,18
Binsearch,No Check,1.396134,19
Binsearch,No Check,1.416465,20
Binsearch,No Check,1.397643,21
Binsearch,No Check,1.395436,22
Binsearch,No Check,1.451533,23
Binsearch,No Check,1.439997,24
Binsearch,No Check,1.400908,25
Binsearch,No Check,1.430361,26
Binsearch,No Check,1.406367,27
Binsearch,No Check,1.416715,28
Binsearch,No Check,1.419760,29
Binsearch,No Check,1.399967,30
Binsearch,No Check,1.434004,31
Binsearch,No Check,1.398169,32
Binsearch,No Check,1.400410,33
Binsearch,No Check,1.400377,34
Binsearch,No Check,1.395955,35
Binsearch,No Check,1.398410,36
Binsearch,No Check,1.396196,37
Binsearch,No Check,1.394112,38
Binsearch,No Check,1.414080,39
Binsearch,No Check,1.402196,40
Binsearch,No Check,1.396731,41
Binsearch,No Check,1.484524,42
Binsearch,C,0.54,1
Binsearch,C,0.54,2
Binsearch,C,0.54,3
Binsearch,C,0.54,4
Binsearch,C,0.54,5
Binsearch,C,0.54,6
Binsearch,C,0.54,7
Binsearch,C,0.54,8
Binsearch,C,0.54,9
Binsearch,C,0.54,10
Binsearch,C,0.54,11
Binsearch,C,0.54,12
Binsearch,C,0.54,13
Binsearch,C,0.54,14
Binsearch,C,0.54,15
Binsearch,C,0.54,16
Binsearch,C,0.54,17
Binsearch,C,0.54,18
Binsearch,C,0.54,19
Binsearch,C,0.54,20
Binsearch,C,0.54,21
Binsearch,C,0.54,22
Binsearch,C,0.54,23
Binsearch,C,0.54,24
Binsearch,C,0.54,25
Binsearch,C,0.54,26
Binsearch,C,0.54,27
Binsearch,C,0.54,28
Binsearch,C,0.54,29
Binsearch,C,0.54,30
Binsearch,C,0.54,31
Binsearch,C,0.54,32
Binsearch,C,0.54,33
Binsearch,C,0.54,34
Binsearch,C,0.54,35
Binsearch,C,0.54,36
Binsearch,C,0.54,37
Binsearch,C,0.54,38
Binsearch,C,0.54,39
Binsearch,C,0.54,40
Binsearch,C,0.54,41
Binsearch,C,0.54,42
