N,M,Implementation,Time,Cycles,Instructions,IPC,branch_miss_pct,llc_miss_pct,Seq
100,1024,Pallene,1.468747594,4832907464,17608905332,3.64,0.37,0.22,23
100,1024,LuaJIT 2.1,1.436131071,4716466987,13218927912,2.80,0.33,0.36,23
100,1024,No Check,1.255108308,4128301708,8311913800,2.01,0.98,0.40,23
100,1024,Pallene,1.467784517,4826427168,17608904378,3.65,0.37,0.35,24
100,1024,LuaJIT 2.1,1.432690142,4704649061,13223607805,2.81,0.33,0.27,24
100,1024,No Check,1.239998506,4079373475,8311912816,2.04,0.98,0.27,24
100,1024,Pallene,1.456960383,4792667304,17608904932,3.67,0.37,0.13,25
100,1024,LuaJIT 2.1,1.440288971,4728090299,13220214038,2.80,0.33,0.26,25
100,1024,No Check,1.237270455,4067805319,8311912107,2.04,0.98,0.47,25
100,1024,Pallene,1.457097209,4790315417,17608904898,3.68,0.37,0.67,26
100,1024,LuaJIT 2.1,1.434604858,4708211561,13218841357,2.81,0.33,0.30,26
100,1024,No Check,1.227742562,4038691582,8311911951,2.06,0.98,0.62,26
100,1024,Pallene,1.454251415,4785400774,17608905333,3.68,0.37,0.19,27
100,1024,LuaJIT 2.1,1.435451958,4712084623,13220212058,2.81,0.33,0.21,27
100,1024,No Check,1.223117345,4023912156,8311913806,2.07,0.98,0.48,27
100,1024,Pallene,1.459332598,4799281719,17608904087,3.67,0.37,0.60,28
100,1024,LuaJIT 2.1,1.435652969,4711560054,13220283383,2.81,0.33,0.74,28
100,1024,No Check,1.233930067,4059115276,8311913699,2.05,0.98,0.59,28
100,1024,Pallene,1.453526851,4779952681,17608904686,3.68,0.37,0.78,29
100,1024,LuaJIT 2.1,1.429435228,4697541182,13222333780,2.81,0.33,0.27,29
100,1024,No Check,1.234924029,4057726085,8311913138,2.05,0.98,0.21,29
100,1024,Pallene,1.446188484,4758452512,17608904565,3.70,0.37,0.07,30
100,1024,LuaJIT 2.1,1.435419446,4712733894,13220213367,2.81,0.33,0.12,30
100,1024,No Check,1.209599746,3978894065,8311912529,2.09,0.98,0.21,30
100,1024,Pallene,1.472142563,4841326087,17608903933,3.64,0.37,0.17,31
100,1024,LuaJIT 2.1,1.438879131,4722186875,13220217554,2.80,0.33,0.19,31
100,1024,No Check,1.238322422,4073435274,8311912240,2.04,0.98,0.51,31
100,1024,Pallene,1.470234184,4837687428,17608904131,3.64,0.37,0.55,32
100,1024,LuaJIT 2.1,1.433989154,4708212594,13220214224,2.81,0.33,0.21,32
100,1024,No Check,1.260429120,4146751286,8311912425,2.00,0.98,0.80,32
100,1024,Pallene,1.466022558,4821510210,17608905092,3.65,0.37,0.42,33
100,1024,LuaJIT 2.1,1.431718703,4700841407,13223471001,2.81,0.33,0.12,33
100,1024,No Check,1.240685096,4079109971,8311912198,2.04,0.98,0.92,33
100,1024,Pallene,1.454629759,4783753997,17608904763,3.68,0.37,0.12,34
100,1024,LuaJIT 2.1,1.431987887,4701688207,13220314722,2.81,0.33,0.15,34
100,1024,No Check,1.227630797,4037525250,8311912037,2.06,0.98,0.15,34
100,1024,Pallene,1.448517690,4765065961,17608904030,3.70,0.37,0.07,35
100,1024,LuaJIT 2.1,1.432914387,4705319926,13221451216,2.81,0.33,0.11,35
100,1024,No Check,1.249241441,4107277051,8311912566,2.02,0.98,0.71,35
100,1024,Pallene,1.475248108,4852822168,17608904241,3.63,0.37,0.79,36
100,1024,LuaJIT 2.1,1.437914435,4720030801,13220216281,2.80,0.33,0.90,36
100,1024,No Check,1.224904505,4028374988,8311912831,2.06,0.98,0.14,36
100,1024,Pallene,1.444009196,4751236679,17608904843,3.71,0.37,0.06,37
100,1024,LuaJIT 2.1,1.436629919,4714372368,13220198957,2.80,0.33,0.22,37
100,1024,No Check,1.239913310,4079206352,8311912519,2.04,0.98,0.07,37
100,1024,Pallene,1.465612845,4820002493,17608904057,3.65,0.37,0.16,38
100,1024,LuaJIT 2.1,1.438827971,4722594453,13220214192,2.80,0.33,0.14,38
100,1024,No Check,1.230916055,4046661432,8311913871,2.05,0.98,0.68,38
100,1024,Pallene,1.440151316,4737710212,17608904669,3.72,0.37,0.12,39
100,1024,LuaJIT 2.1,1.433380357,4705786672,13220209146,2.81,0.33,0.40,39
100,1024,No Check,1.225288707,4028953505,8311912026,2.06,0.98,0.23,39
100,1024,Pallene,1.456683137,4789772963,17608904284,3.68,0.37,0.23,40
100,1024,LuaJIT 2.1,1.437359428,4719683059,13219690085,2.80,0.33,0.52,40
100,1024,No Check,1.234681584,4062151597,8311912170,2.05,0.98,0.40,40
100,1024,Pallene,1.446639700,4756900613,17608905605,3.70,0.37,0.19,41
100,1024,LuaJIT 2.1,1.436129837,4714137875,13220207515,2.80,0.33,0.43,41
100,1024,No Check,1.248832477,4108343198,8311913644,2.02,0.98,0.76,41
100,1024,Pallene,1.475738581,4855097407,17608903927,3.63,0.37,0.38,42
100,1024,LuaJIT 2.1,1.432993983,4709563485,13222115274,2.81,0.33,0.48,42
100,1024,No Check,1.227670196,4038981354,8311911783,2.06,0.98,0.27,42
200,128,Pallene,1.453255835,4775744115,16870658037,3.53,0.18,16.26,1
200,128,LuaJIT 2.1,1.273392755,4166109538,12100463784,2.90,0.17,1.85,1
