Benchmark,Implementation,Time,Seq
Queen,Lua-C API,3.900928,22
Queen,Lua-C API,3.894688,23
Queen,Lua-C API,3.947167,24
Queen,Lua-C API,3.911502,25
Queen,Lua-C API,3.899588,26
Queen,Lua-C API,3.893403,27
Queen,Lua-C API,3.896370,28
Queen,Lua-C API,3.901225,29
Queen,Lua-C API,3.923383,30
Queen,Lua-C API,3.902449,31
Queen,Lua-C API,3.953819,32
Queen,Lua-C API,3.896815,33
Queen,Lua-C API,3.899752,34
Queen,Lua-C API,3.896089,35
Queen,Lua-C API,3.914342,36
Queen,Lua-C API,3.901405,37
Queen,Lua-C API,3.897322,38
Queen,Lua-C API,3.897523,39
Queen,Lua-C API,3.920707,40
Queen,Lua-C API,3.896685,41
Queen,Lua-C API,3.960623,42
Queen,No Check,1.294070,1
Queen,No Check,1.296651,2
Queen,No Check,1.297439,3
Queen,No Check,1.296695,4
Queen,No Check,1.295855,5
Queen,No Check,1.298132,6
Queen,No Check,1.294011,7
Queen,No Check,1.314922,8
Queen,No Check,1.294781,9
Queen,No Check,1.296683,10
Queen,No Check,1.295978,11
Queen,No Check,1.298652,12
Queen,No Check,1.297690,13
Queen,No Check,1.294538,14
Queen,No Check,1.293794,15
Queen,No Check,1.303080,16
Queen,No Check,1.289773,17
Queen,No Check,1.298971,18
Queen,No Check,1.301204,19
Queen,No Check,1.297754,20
Queen,No Check,1.295179,21
Queen,No Check,1.298646,22
Queen,No Check,1.296317,23
Queen,No Check,1.316943,24
Queen,No Check,1.293806,25
Queen,No Check,1.307899,26
Queen,No Check,1.298870,27
Queen,No Check,1.300131,28
Queen,No Check,1.296283,29
Queen,No Check,1.296319,30
Queen,No Check,1.297271,31
Queen,No Check,1.303063,32
Queen,No Check,1.293431,33
Queen,No Check,1.296665,34
Queen,No Check,1.299211,35
Queen,No Check,1.296578,36
Queen,No Check,1.320058,37
Queen,No Check,1.296662,38
Queen,No Check,1.292355,39
Queen,No Check,1.304966,40
Queen,No Check,1.293528,41
Queen,No Check,1.297447,42
Queen,C,0.72,1
Queen,C,0.72,2
Queen,C,0.72,3
Queen,C,0.72,4
Queen,C,0.72,5
Queen,C,0.72,6
Queen,C,0.72,7
Queen,C,0.72,8
Queen,C,0.72,9
Queen,C,0.72,10
Queen,C,0.72,11
Queen,C,0.72,12
Queen,C,0.72,13
Queen,C,0.72,14
Queen,C,0.72,15
Queen,C,0.72,16
Queen,C,0.72,17
Queen,C,0.72,18
Queen,C,0.72,19
Queen,C,0.72,20
Queen,C,0.72,21
Queen,C,0.72,22
Queen,C,0.72,23
Queen,C,0.72,24
Queen,C,0.72,25
Queen,C,0.72,26
Queen,C,0.72,27
Queen,C,0.72,28
Queen,C,0.72,29
Queen,C,0.72,30
Queen,C,0.72,31
Queen,C,0.72,32
Queen,C,0.72,33
Queen,C,0.72,34
Queen,C,0.72,35
Queen,C,0.72,36
Queen,C,0.72,37
Queen,C,0.72,38
Queen,C,0.72,39
Queen,C,0.72,40
Queen,C,0.72,41
Queen,C,0.72,42
