Benchmark,Implementation,Time,Seq
Centroid,Lua-C API,24.746975,14
Centroid,Lua-C API,24.724726,15
Centroid,Lua-C API,24.722287,16
Centroid,Lua-C API,24.718173,17
Centroid,Lua-C API,24.719034,18
Centroid,Lua-C API,24.735529,19
Centroid,Lua-C API,24.719729,20
Centroid,Lua-C API,24.747381,21
Centroid,Lua-C API,24.710878,22
Centroid,Lua-C API,24.761630,23
Centroid,Lua-C API,25.632341,24
Centroid,Lua-C API,24.755357,25
Centroid,Lua-C API,24.745108,26
Centroid,Lua-C API,24.742886,27
Centroid,Lua-C API,24.749811,28
Centroid,Lua-C API,24.729793,29
Centroid,Lua-C API,24.751149,30
Centroid,Lua-C API,24.714777,31
Centroid,Lua-C API,24.756551,32
Centroid,Lua-C API,24.720336,33
Centroid,Lua-C API,24.734298,34
Centroid,Lua-C API,25.682999,35
Centroid,Lua-C API,24.728082,36
Centroid,Lua-C API,24.732033,37
Centroid,Lua-C API,24.749176,38
Centroid,Lua-C API,24.755751,39
Centroid,Lua-C API,24.767166,40
Centroid,Lua-C API,24.726577,41
Centroid,Lua-C API,24.726172,42
Centroid,No Check,5.390064,1
Centroid,No Check,3.440572,2
Centroid,No Check,3.446918,3
Centroid,No Check,3.430530,4
Centroid,No Check,3.439141,5
Centroid,No Check,3.441391,6
Centroid,No Check,3.440832,7
Centroid,No Check,3.441148,8
Centroid,No Check,3.437668,9
Centroid,No Check,3.442431,10
Centroid,No Check,3.439226,11
Centroid,No Check,3.439107,12
Centroid,No Check,3.449121,13
Centroid,No Check,3.446964,14
Centroid,No Check,3.439211,15
Centroid,No Check,3.447166,16
Centroid,No Check,3.445388,17
Centroid,No Check,3.439870,18
Centroid,No Check,3.479488,19
Centroid,No Check,3.456966,20
Centroid,No Check,3.457990,21
Centroid,No Check,3.438952,22
Centroid,No Check,3.454236,23
Centroid,No Check,3.447469,24
Centroid,No Check,3.441805,25
Centroid,No Check,3.438883,26
Centroid,No Check,3.445976,27
Centroid,No Check,3.443917,28
Centroid,No Check,3.439787,29
Centroid,No Check,3.487979,30
Centroid,No Check,3.450250,31
Centroid,No Check,3.439550,32
Centroid,No Check,3.450776,33
Centroid,No Check,3.638973,34
Centroid,No Check,3.586320,35
Centroid,No Check,3.441140,36
Centroid,No Check,3.443881,37
Centroid,No Check,3.440174,38
Centroid,No Check,3.441494,39
Centroid,No Check,3.608535,40
Centroid,No Check,3.438230,41
Centroid,No Check,3.541822,42
Centroid,C,1.05,1
Centroid,C,1.03,2
Centroid,C,1.02,3
Centroid,C,1.02,4
Centroid,C,1.02,5
Centroid,C,1.04,6
Centroid,C,1.02,7
Centroid,C,1.03,8
Centroid,C,1.02,9
Centroid,C,1.02,10
Centroid,C,1.03,11
Centroid,C,1.03,12
Centroid,C,1.03,13
Centroid,C,1.03,14
Centroid,C,1.05,15
Centroid,C,1.02,16
Centroid,C,1.03,17
Centroid,C,1.02,18
Centroid,C,1.04,19
Centroid,C,1.02,20
Centroid,C,1.03,21
Centroid,C,1.04,22
Centroid,C,1.03,23
Centroid,C,1.03,24
Centroid,C,1.02,25
Centroid,C,1.04,26
Centroid,C,1.02,27
Centroid,C,1.02,28
Centroid,C,1.02,29
Centroid,C,1.02,30
